Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,57.240002,64.750000,51.770000,53.049999,53.049999,24639000
2015-02-01,53.000000,58.160000,52.020000,57.349998,57.349998,15054700
2015-03-01,57.959999,58.520000,52.139999,53.790001,53.790001,16676300
2015-04-01,53.669998,61.240002,51.650002,58.840000,58.840000,25901800
2015-05-01,58.740002,61.419998,57.889999,60.669998,60.669998,10976900
2015-06-01,61.080002,64.989998,59.560001,62.709999,62.709999,18363900
2015-07-01,63.180000,66.529999,58.860001,62.700001,62.700001,22087000
2015-08-01,62.480000,63.060001,52.009998,56.599998,56.599998,12188900
2015-09-01,55.619999,59.470001,53.570000,56.759998,56.759998,12465600
2015-10-01,56.580002,68.480003,54.689999,65.459999,65.459999,22414700
2015-11-01,65.760002,68.000000,63.049999,66.739998,66.739998,10907700
2015-12-01,66.860001,68.419998,63.189999,65.849998,65.849998,8189200
2016-01-01,64.989998,69.360001,57.310001,66.139999,66.139999,13841100
2016-02-01,66.110001,68.029999,57.509998,66.029999,66.029999,13069400
2016-03-01,66.260002,73.550003,65.769997,72.690002,72.690002,18403000
2016-04-01,72.570000,75.739998,70.029999,72.190002,72.190002,12457900
2016-05-01,72.559998,79.790001,72.389999,78.830002,78.830002,17424100
2016-06-01,78.919998,81.980003,77.070000,80.550003,80.550003,13618900
2016-07-01,80.739998,89.580002,80.300003,89.150002,89.150002,13085100
2016-08-01,89.489998,96.129997,88.650002,92.900002,92.900002,17380400
2016-09-01,93.199997,96.900002,91.019997,93.750000,93.750000,15528500
2016-10-01,92.040001,92.300003,83.269997,85.919998,85.919998,16495200
2016-11-01,85.860001,98.620003,83.769997,93.050003,93.050003,26339000
2016-12-01,93.120003,102.099998,91.459999,96.129997,96.129997,17333100
2017-01-01,96.489998,98.820000,88.559998,91.690002,91.690002,18340700
2017-02-01,97.000000,103.830002,92.610001,102.760002,102.760002,18529400
2017-03-01,103.769997,115.199997,102.019997,114.709999,114.709999,14725800
2017-04-01,115.129997,145.240005,113.400002,134.619995,134.619995,15905300
2017-05-01,135.389999,146.000000,131.320007,143.330002,143.330002,25253100
2017-06-01,146.360001,154.850006,139.000000,150.119995,150.119995,44973200
2017-07-01,151.059998,173.789993,148.949997,151.940002,151.940002,17697400
2017-08-01,167.410004,179.759995,165.179993,176.740005,176.740005,40162000
2017-09-01,176.809998,190.039993,173.880005,179.330002,179.330002,17553600
2017-10-01,187.160004,243.270004,184.669998,238.979996,238.979996,42627900
2017-11-01,243.000000,266.410004,232.309998,260.880005,260.880005,21195500
2017-12-01,259.350006,261.000000,212.860001,222.190002,222.190002,30323900
2018-01-01,222.610001,287.320007,220.360001,262.000000,262.000000,27964800
2018-02-01,261.589996,268.399994,219.110001,262.519989,262.519989,24029100
2018-03-01,255.000000,277.320007,241.029999,251.130005,251.130005,18465100
2018-04-01,251.000000,280.230011,234.399994,249.850006,249.850006,22297200
2018-05-01,249.210007,338.500000,244.399994,331.950012,331.950012,22467100
2018-06-01,333.170013,371.549988,325.279999,342.140015,342.140015,20469900
2018-07-01,334.899994,385.000000,332.010010,356.649994,356.649994,16842400
2018-08-01,356.649994,392.690002,342.299988,386.489990,386.489990,15280700
2018-09-01,386.640015,398.880005,365.200012,391.220001,391.220001,11538700
2018-10-01,393.359985,397.850006,203.119995,221.199997,221.199997,41000500
2018-11-01,222.270004,248.500000,188.570007,229.889999,229.889999,30910800
2018-12-01,234.399994,235.919998,190.750000,209.429993,209.429993,21462700
2019-01-01,205.320007,249.240005,177.929993,248.949997,248.949997,38000900
2019-02-01,248.080002,263.640015,234.229996,258.970001,258.970001,20896000
2019-03-01,261.239990,284.609985,224.580002,284.329987,284.329987,32185300
2019-04-01,287.440002,325.369995,271.660004,324.679993,324.679993,25376300
2019-05-01,325.260010,334.640015,272.600006,284.350006,284.350006,20799400
2019-06-01,282.859985,319.170013,263.700012,273.700012,273.700012,20408700
2019-07-01,280.640015,290.779999,189.600006,209.080002,209.080002,35295300
2019-08-01,209.089996,209.990005,172.110001,183.110001,183.110001,26423700
2019-09-01,182.229996,188.160004,169.839996,180.919998,180.919998,27242900
2019-10-01,181.220001,257.630005,175.520004,252.289993,252.289993,27084000
2019-11-01,254.309998,281.570007,253.020004,277.339996,277.339996,12660100
2019-12-01,276.540009,280.679993,257.429993,279.040009,279.040009,12317300
