Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,24.990000,25.160000,22.790001,22.840000,20.869169,277572000
2015-02-01,22.920000,25.570000,22.290001,25.049999,22.888475,292385700
2015-03-01,24.940001,25.639999,21.799999,22.559999,20.699078,356468700
2015-04-01,22.530001,22.709999,19.629999,19.790001,18.157570,639079300
2015-05-01,19.930000,20.600000,19.170000,20.129999,18.469522,425587000
2015-06-01,20.030001,20.590000,19.059999,19.219999,17.722359,324240500
2015-07-01,19.340000,19.719999,17.129999,17.360001,16.007298,359212200
2015-08-01,17.459999,17.690001,14.250000,16.090000,14.836256,403004100
2015-09-01,15.680000,16.309999,14.290000,14.690000,13.625350,348502000
2015-10-01,14.720000,16.830000,14.440000,16.770000,15.554609,362991700
2015-11-01,16.790001,18.920000,16.500000,18.770000,17.409657,237923300
2015-12-01,18.740000,19.410000,17.820000,18.670000,17.415073,284412200
2016-01-01,18.309999,18.629999,15.850000,17.650000,16.463636,364799800
2016-02-01,17.450001,19.230000,15.440000,18.870001,17.601631,271878000
2016-03-01,19.090000,21.410000,18.760000,21.180000,19.863211,259469500
2016-04-01,20.990000,21.670000,20.170000,20.469999,19.197351,220915100
2016-05-01,20.500000,24.580000,19.459999,24.420000,22.901775,318169200
2016-06-01,24.299999,24.650000,22.170000,23.969999,22.578346,312526900
2016-07-01,23.770000,27.110001,23.490000,26.290001,24.763655,220545400
2016-08-01,26.410000,30.270000,25.680000,29.840000,28.107546,293294300
2016-09-01,29.940001,31.070000,28.530001,30.150000,28.497309,290903100
2016-10-01,30.180000,30.400000,27.559999,29.080000,27.485966,239841100
2016-11-01,29.110001,32.540001,28.020000,32.200001,30.434938,253655700
2016-12-01,32.139999,33.680000,29.850000,32.270000,30.598707,205985500
2017-01-01,32.360001,35.150002,31.660000,34.250000,32.476162,183134100
2017-02-01,34.590000,36.820000,34.500000,36.220001,34.344128,202717500
2017-03-01,36.520000,39.810001,36.330002,38.900002,37.094471,196209500
2017-04-01,38.990002,41.820000,37.410000,40.610001,38.725105,145367700
2017-05-01,40.980000,46.040001,40.849998,45.880001,43.750504,230868800
2017-06-01,45.970001,47.860001,40.790001,41.310001,39.480881,244092000
2017-07-01,41.330002,47.590000,40.980000,44.310001,42.348049,194338500
2017-08-01,44.389999,45.490002,41.939999,45.119999,43.122185,226591700
2017-09-01,45.189999,52.279999,43.869999,52.090000,49.898781,224927600
2017-10-01,52.209999,56.820000,50.770000,56.430000,54.056213,214988600
2017-11-01,57.000000,60.889999,51.590000,52.770000,50.550179,228866300
2017-12-01,52.000000,54.250000,48.250000,51.119999,49.053009,240811900
2018-01-01,51.680000,58.730000,51.220001,53.630001,51.461517,261782700
2018-02-01,53.160000,59.000000,45.130001,57.590000,55.261398,337379000
2018-03-01,57.540001,62.400002,53.730000,55.610001,53.458599,323026600
2018-04-01,55.270000,58.400002,47.740002,49.669998,47.748398,274419500
2018-05-01,49.740002,56.939999,48.529999,50.779999,48.815456,326039800
2018-06-01,51.299999,53.230000,44.570000,46.189999,44.580471,300989700
2018-07-01,45.099998,49.480000,44.740002,48.630001,46.935448,215355400
2018-08-01,48.889999,50.389999,42.520000,43.020000,41.520935,276552000
2018-09-01,42.840000,43.000000,37.389999,38.650002,37.474472,247698300
2018-10-01,38.500000,39.650002,30.530001,32.880001,31.879967,321299800
2018-11-01,32.980000,37.279999,32.070000,37.279999,36.146145,260792300
2018-12-01,38.299999,38.639999,28.790001,32.740002,31.922718,264368600
2019-01-01,32.040001,40.000000,31.480000,39.080002,38.104454,249011700
2019-02-01,39.080002,41.240002,37.919998,38.340000,37.382927,221789600
2019-03-01,38.660000,41.990002,36.799999,39.660000,38.867771,209348100
2019-04-01,40.299999,45.750000,40.209999,44.070000,43.189678,166338300
2019-05-01,44.040001,44.669998,38.400002,38.689999,37.917152,232766800
2019-06-01,38.970001,45.389999,38.540001,44.910000,44.238007,200453900
2019-07-01,46.630001,52.419998,42.880001,49.369999,48.631268,204362000
2019-08-01,49.439999,51.049999,44.619999,48.020000,47.301468,175689600
2019-09-01,47.639999,52.619999,47.160000,49.900002,49.375229,144479600
2019-10-01,50.410000,57.290001,48.779999,54.259998,53.689377,158035400
2019-11-01,54.930000,63.070000,54.410000,57.900002,57.291096,163724200
2019-12-01,58.139999,62.000000,54.950001,61.040001,60.606926,130725000
