Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,29.000000,29.174999,26.510000,26.575001,23.978378,611861400
2015-02-01,26.575001,29.945000,26.225000,29.690001,26.894526,565995600
2015-03-01,29.754999,30.350000,27.834999,28.235001,25.576521,624085400
2015-04-01,28.395000,30.424999,28.025000,28.879999,26.278229,858274600
2015-05-01,28.900000,30.049999,28.100000,29.230000,26.596701,635671000
2015-06-01,29.355000,30.820000,28.540001,30.070000,27.361031,586851600
2015-07-01,30.190001,32.494999,30.190001,31.205000,28.510103,540188400
2015-08-01,31.379999,31.684999,25.000000,28.165001,25.732641,700509000
2015-09-01,27.510000,29.635000,27.325001,28.440001,25.983892,659258200
2015-10-01,28.760000,31.690001,28.264999,31.309999,28.606033,426809600
2015-11-01,31.315001,31.629999,30.075001,30.430000,27.920908,336061000
2015-12-01,30.730000,30.889999,27.695000,28.215000,25.888548,525640600
2016-01-01,27.575001,28.025000,26.170000,27.855000,25.558229,532587400
2016-02-01,27.535000,29.850000,27.190001,28.865000,26.602806,608842000
2016-03-01,29.115000,30.684999,29.025000,30.540001,28.146536,400644600
2016-04-01,30.295000,31.455000,30.010000,30.379999,27.999071,425409600
2016-05-01,30.545000,31.695000,29.809999,31.650000,29.299774,414606800
2016-06-01,31.719999,32.709999,30.330000,32.595001,30.174599,388851600
2016-07-01,32.455002,34.180000,32.134998,33.625000,31.128117,355613800
2016-08-01,33.700001,33.980000,32.485001,32.630001,30.334967,316680400
2016-09-01,32.799999,33.764999,32.369999,33.169998,30.836979,377685800
2016-10-01,32.939999,33.189999,30.299999,30.910000,28.735945,419365800
2016-11-01,31.260000,35.139999,30.020000,34.755001,32.445000,532546000
2016-12-01,34.705002,35.660000,34.035000,34.525002,32.230289,372430200
2017-01-01,34.834999,38.435001,34.115002,37.709999,35.342262,448584600
2017-02-01,37.645000,38.330002,37.180000,37.419998,35.070465,284386100
2017-03-01,37.720001,37.990002,36.689999,37.590000,35.229797,315205900
2017-04-01,37.470001,40.619999,36.990002,39.189999,36.729336,359693700
2017-05-01,39.419998,41.709999,37.910000,41.689999,39.237293,402380600
2017-06-01,41.630001,42.180000,38.279999,38.919998,36.630260,414267700
2017-07-01,39.080002,40.660000,38.139999,40.450001,38.225620,359443200
2017-08-01,40.400002,41.990002,39.349998,40.610001,38.376823,334255800
2017-09-01,40.770000,41.340000,36.439999,38.480000,36.363956,575921000
2017-10-01,38.410000,38.849998,35.259998,36.029999,34.048691,585793200
2017-11-01,36.250000,37.730000,34.779999,37.540001,35.623882,531622800
2017-12-01,37.150002,41.240002,37.110001,40.049999,38.005768,498175800
2018-01-01,40.860001,44.000000,40.049999,42.529999,40.359180,480271900
2018-02-01,42.169998,42.590000,35.750000,36.209999,34.497868,590798000
2018-03-01,36.439999,37.220001,32.740002,34.169998,32.554317,621328100
2018-04-01,34.090000,34.810001,31.340000,31.389999,29.905775,603758700
2018-05-01,31.379999,32.889999,30.430000,31.180000,29.875044,494078700
2018-06-01,31.340000,34.400002,30.959999,32.810001,31.436825,749249300
2018-07-01,32.439999,36.090000,32.419998,35.779999,34.282520,459034700
2018-08-01,35.900002,37.070000,34.619999,36.990002,35.648315,322923600
2018-09-01,36.750000,38.060001,34.750000,35.410000,34.125626,446078600
2018-10-01,35.529999,38.650002,33.509998,38.139999,36.756607,617471700
2018-11-01,38.099998,39.660000,36.610001,39.009998,37.797230,410993300
2018-12-01,39.090000,39.290001,32.610001,34.049999,32.991425,438189800
2019-01-01,33.490002,37.419998,33.419998,36.570000,35.630165,500940900
2019-02-01,36.709999,38.900002,36.270000,38.669998,37.676197,343384300
2019-03-01,38.849998,40.520000,37.889999,39.980000,38.952530,419513600
2019-04-01,40.340000,43.959999,39.810001,43.529999,42.411301,321151400
2019-05-01,43.480000,43.810001,40.770000,41.000000,40.155514,359234600
2019-06-01,41.029999,43.860001,40.680000,42.279999,41.409149,443327600
2019-07-01,42.650002,45.299999,42.340000,43.169998,42.280815,354409500
2019-08-01,43.189999,44.650002,40.720001,44.259998,43.562557,350264800
2019-09-01,43.889999,47.270000,43.529999,45.080002,44.369640,332942000
2019-10-01,45.180000,47.240002,43.610001,44.820000,44.113735,330280600
2019-11-01,45.189999,45.669998,43.250000,44.150002,43.657669,343885800
2019-12-01,44.400002,45.340000,42.009998,44.970001,44.468525,458700700
