Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,36.110001,36.450001,33.009998,33.299999,30.190603,163245900
2015-02-01,33.470001,36.950001,33.209999,34.310001,31.106295,118664400
2015-03-01,34.310001,35.349998,32.709999,33.119999,30.163095,166115100
2015-04-01,33.200001,37.540001,31.870001,36.090000,32.867939,267261300
2015-05-01,36.419998,37.669998,33.990002,34.080002,31.037378,187699500
2015-06-01,34.230000,35.669998,32.400002,32.650002,29.889744,181771000
2015-07-01,32.930000,33.160000,30.400000,31.280001,28.635565,168678000
2015-08-01,31.340000,31.360001,24.469999,27.379999,25.065271,173863000
2015-09-01,26.690001,29.629999,25.690001,26.900000,24.795107,194581000
2015-10-01,27.129999,29.670000,26.450001,26.990000,24.878063,173239800
2015-11-01,26.990000,30.530001,26.370001,28.430000,26.205385,163779800
2015-12-01,28.469999,28.670000,24.580000,25.950001,24.068676,201354800
2016-01-01,25.370001,25.990000,21.330000,23.020000,21.351099,197837700
2016-02-01,22.600000,25.709999,21.639999,24.139999,22.389898,214364500
2016-03-01,24.450001,27.270000,24.260000,25.750000,24.060017,209820900
2016-04-01,25.639999,27.969999,24.360001,27.270000,25.480265,203553100
2016-05-01,27.270000,27.540001,24.930000,26.430000,24.695389,139244400
2016-06-01,26.180000,27.410000,24.430000,26.080000,24.539360,149579100
2016-07-01,26.110001,29.410000,25.330000,28.330000,26.656452,153978300
2016-08-01,28.330000,28.879999,27.459999,28.280001,26.609407,107443800
2016-09-01,28.370001,30.600000,27.889999,30.500000,28.882685,145000900
2016-10-01,30.330000,31.730000,30.010000,30.510000,28.892157,182030700
2016-11-01,30.639999,36.090000,30.150000,35.810001,33.911118,212215900
2016-12-01,36.070000,37.419998,35.790001,35.930000,34.199684,153655600
2017-01-01,36.150002,49.130001,35.590000,46.389999,44.155949,390248100
2017-02-01,46.549999,49.599998,46.099998,48.560001,46.221447,189647400
2017-03-01,49.200001,50.310001,45.410000,46.549999,44.475338,216151100
2017-04-01,46.660000,51.660000,46.040001,50.840000,48.574146,149492600
2017-05-01,50.869999,54.430000,48.770000,54.169998,51.755730,164320900
2017-06-01,54.209999,55.060001,51.759998,54.560001,52.322903,165083100
2017-07-01,54.750000,55.480000,48.860001,49.340000,47.316929,177440300
2017-08-01,49.290001,51.380001,47.990002,50.200001,48.141663,150514800
2017-09-01,50.380001,54.299999,48.689999,54.259998,52.246284,112443400
2017-10-01,52.810001,54.990002,50.389999,50.430000,48.558430,133710300
2017-11-01,50.730000,56.169998,48.259998,55.750000,53.680996,119909100
2017-12-01,55.230000,58.349998,51.500000,55.009998,53.172451,203374000
2018-01-01,55.630001,60.040001,55.020000,56.770000,54.873665,144953100
2018-02-01,56.099998,57.099998,48.430000,53.720001,51.925552,146417300
2018-03-01,53.950001,58.400002,53.130001,55.709999,54.064865,132385000
2018-04-01,55.480000,61.500000,53.529999,59.389999,57.636185,137809300
2018-05-01,59.290001,65.930000,57.970001,64.650002,62.740871,93013800
2018-06-01,65.220001,67.690002,62.720001,63.779999,62.109322,101756100
2018-07-01,63.540001,72.220001,63.230000,70.680000,68.828590,135592400
2018-08-01,70.739998,76.239998,70.089996,74.160004,72.217430,96383600
2018-09-01,74.160004,74.910004,72.690002,74.050003,72.322975,101051700
2018-10-01,74.379997,75.660004,63.650002,68.860001,67.254013,167502500
2018-11-01,69.129997,73.610001,68.580002,72.629997,70.936089,103595700
2018-12-01,73.809998,73.900002,58.470001,62.130001,60.865028,117695600
2019-01-01,60.759998,67.769997,60.020000,65.699997,64.362350,125003700
2019-02-01,65.620003,73.500000,65.410004,72.669998,71.190430,90910600
2019-03-01,73.300003,75.160004,70.570000,74.820000,73.539238,96099800
2019-04-01,75.349998,80.510002,74.110001,79.629997,78.266884,89053300
2019-05-01,79.550003,80.730003,73.199997,74.470001,73.195229,96515000
2019-06-01,74.510002,79.720001,74.209999,77.370003,76.293190,69965900
2019-07-01,78.559998,80.230003,68.279999,70.400002,69.420197,141606700
2019-08-01,69.970001,70.410004,63.970001,67.019997,66.087242,104538800
2019-09-01,66.339996,72.849998,65.440002,69.269997,68.557541,101586100
2019-10-01,69.610001,72.739998,65.370003,70.269997,69.547256,130287600
2019-11-01,70.940002,74.720001,69.139999,71.540001,70.804199,59214100
2019-12-01,71.419998,73.580002,68.099998,72.360001,71.855446,92064200
