Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,23.728956,24.107744,22.205387,22.306396,21.795025,487073400
2015-02-01,22.352694,24.772728,22.112795,24.372896,23.814150,327631600
2015-03-01,24.221380,25.643940,23.859428,24.276094,23.719568,499595700
2015-04-01,24.128788,25.311447,23.316498,24.520203,23.958078,357449300
2015-05-01,24.520203,25.942760,23.960438,25.824915,25.232882,287105400
2015-06-01,25.904882,26.641415,24.877947,25.353535,24.772306,426404900
2015-07-01,25.669191,29.350000,25.176767,28.120001,27.475353,709812400
2015-08-01,28.090000,28.940001,23.230000,27.110001,26.488508,271796700
2015-09-01,26.540001,27.600000,23.760000,24.440001,23.879717,258615400
2015-10-01,24.500000,28.570000,23.620001,27.900000,27.260395,350482700
2015-11-01,27.730000,29.690001,27.719999,29.590000,28.911654,229236700
2015-12-01,29.750000,29.830000,27.260000,27.480000,26.850021,198408300
2016-01-01,27.110001,27.250000,22.400000,23.459999,22.922182,316209200
2016-02-01,23.340000,24.540001,21.520000,23.799999,23.254391,263160000
2016-03-01,23.990000,24.620001,22.879999,23.860001,23.313013,265327200
2016-04-01,24.370001,26.209999,23.400000,24.430000,23.869947,289442700
2016-05-01,24.180000,24.620001,23.180000,24.459999,23.899260,169662200
2016-06-01,24.430000,24.950001,22.299999,23.410000,22.873327,221452100
2016-07-01,23.430000,31.790001,23.299999,31.160000,30.445662,293893900
2016-08-01,31.299999,32.230000,30.360001,32.160000,31.422735,192471900
2016-09-01,32.150002,33.189999,31.230000,32.900002,32.145775,176806800
2016-10-01,31.299999,33.029999,28.440001,28.510000,27.856413,285318000
2016-11-01,28.510000,29.440001,27.330000,27.809999,27.172459,192925000
2016-12-01,27.920000,30.520000,27.280001,29.690001,29.009365,218179300
2017-01-01,29.830000,32.849998,29.510000,31.830000,31.100300,244026700
2017-02-01,31.900000,34.310001,31.799999,33.900002,33.122849,163121800
2017-03-01,34.110001,34.430000,32.560001,33.570000,32.800415,163337400
2017-04-01,33.369999,34.740002,31.889999,33.410000,32.644085,207712000
2017-05-01,33.459999,35.299999,32.990002,34.299999,33.513676,173454600
2017-06-01,34.439999,36.500000,33.889999,34.919998,34.119465,184640700
2017-07-01,35.150002,37.480000,33.950001,35.730000,34.910900,210354100
2017-08-01,35.820000,36.639999,34.090000,36.130001,35.301727,158918000
2017-09-01,36.200001,38.869999,35.770000,38.459999,37.578308,149752800
2017-10-01,38.509998,39.279999,36.189999,37.639999,36.777107,214499000
2017-11-01,37.849998,38.090000,33.950001,34.669998,33.875195,179743700
2017-12-01,34.380001,38.660000,34.310001,37.740002,36.874817,168580100
2018-01-01,38.169998,41.340000,37.380001,40.580002,39.649708,211507400
2018-02-01,45.500000,46.990002,40.430000,42.860001,41.877445,252196500
2018-03-01,43.009998,44.299999,39.590000,40.240002,39.317509,199402700
2018-04-01,40.040001,43.000000,37.650002,37.880001,37.011612,227985700
2018-05-01,37.750000,38.840000,36.810001,37.720001,36.855274,176953500
2018-06-01,38.060001,40.860001,35.560001,36.259998,35.428741,201723000
2018-07-01,35.910000,38.340000,33.330002,33.450001,32.683170,247300500
2018-08-01,33.349998,35.290001,32.849998,34.610001,33.816570,179819500
2018-09-01,34.400002,34.910000,32.599998,33.020000,32.263020,190865900
2018-10-01,33.099998,34.599998,26.360001,29.030001,28.364494,340803700
2018-11-01,29.080000,30.260000,27.549999,29.850000,29.165695,280472300
2018-12-01,30.170000,30.360001,26.010000,28.070000,27.426500,269751400
2019-01-01,27.650000,34.750000,27.559999,33.650002,32.878582,343616600
2019-02-01,33.750000,38.020000,33.630001,37.150002,36.298344,210230900
2019-03-01,38.360001,39.139999,35.509998,37.139999,36.424267,252316300
2019-04-01,37.410000,38.799999,35.439999,38.750000,38.003239,211328500
2019-05-01,38.779999,38.939999,35.590000,35.930000,35.237583,176656800
2019-06-01,35.849998,40.549999,35.450001,39.500000,38.889606,194738300
2019-07-01,39.970001,42.000000,38.930000,41.189999,40.553490,176600700
2019-08-01,41.360001,41.990002,38.540001,40.290001,39.667393,147930100
2019-09-01,40.049999,41.410000,38.099998,38.980000,38.510662,138279000
2019-10-01,38.990002,39.470001,35.130001,35.250000,34.825577,161549500
2019-11-01,35.500000,36.529999,34.520000,35.520000,35.092327,148552500
2019-12-01,35.450001,36.520000,34.459999,36.110001,35.815086,163581500
