Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,85.580002,88.760002,81.970001,85.930000,81.655235,36735900
2015-02-01,86.279999,95.000000,76.339996,91.750000,87.185707,67186200
2015-03-01,90.330002,96.449997,88.709999,94.129997,89.447319,30947100
2015-04-01,93.809998,100.510002,92.599998,94.230003,89.719070,29059100
2015-05-01,100.099998,115.000000,97.650002,107.260002,102.125305,40566400
2015-06-01,107.419998,111.330002,103.459999,109.349998,104.281357,28027600
2015-07-01,109.199997,122.190002,104.000000,121.440002,115.810974,40289800
2015-08-01,121.849998,128.470001,104.760002,114.989998,109.659935,33504900
2015-09-01,111.250000,130.990005,109.760002,117.680000,112.474403,37526300
2015-10-01,118.500000,139.580002,116.550003,136.300003,130.270752,49502600
2015-11-01,136.199997,140.509995,119.360001,123.110001,117.664200,64317300
2015-12-01,124.089996,133.070007,121.580002,124.300003,119.034737,52977700
2016-01-01,121.260002,122.129997,97.220001,101.040001,96.760002,50987800
2016-02-01,100.160004,112.620003,88.400002,104.110001,99.699966,75353200
2016-03-01,105.019997,118.639999,102.849998,107.820000,103.252800,57612500
2016-04-01,106.790001,118.000000,101.839996,115.769997,111.119102,59240900
2016-05-01,115.760002,116.989998,107.760002,111.239998,106.771095,39936900
2016-06-01,110.470001,111.900002,96.580002,106.300003,102.252228,44360600
2016-07-01,106.029999,119.769997,104.440002,116.650002,112.208115,41764800
2016-08-01,116.820000,117.989998,108.260002,109.120003,104.964851,38898400
2016-09-01,109.860001,119.150002,105.620003,116.720001,112.532127,51492400
2016-10-01,116.379997,133.550003,115.699997,129.229996,124.593277,51135600
2016-11-01,129.789993,130.350006,117.349998,124.050003,119.599136,42165300
2016-12-01,123.949997,124.720001,112.629997,124.059998,119.870323,47055200
2017-01-01,114.040001,122.080002,111.879997,121.589996,117.483742,35333900
2017-02-01,121.779999,126.410004,118.339996,119.040001,115.019859,39426400
2017-03-01,119.809998,132.169998,117.949997,126.169998,121.909073,40807100
2017-04-01,126.339996,137.000000,124.330002,133.720001,129.502579,38873000
2017-05-01,134.000000,146.029999,133.869995,143.779999,139.245270,41357600
2017-06-01,144.419998,156.389999,141.550003,148.949997,144.536194,36455700
2017-07-01,149.559998,161.000000,146.800003,156.470001,151.833359,30363100
2017-08-01,157.240005,157.240005,140.750000,148.360001,143.963669,49102800
2017-09-01,149.029999,151.889999,138.350006,143.940002,139.964188,37970200
2017-10-01,144.000000,154.240005,118.000000,124.660004,121.216728,71135400
2017-11-01,125.879997,128.429993,115.550003,122.500000,119.116386,54656700
2017-12-01,121.650002,125.449997,116.760002,119.769997,116.748650,36721600
2018-01-01,120.639999,133.679993,120.010002,128.009995,124.780785,38813700
2018-02-01,127.250000,132.440002,98.519997,105.169998,102.516953,70576900
2018-03-01,104.989998,114.989998,101.370003,110.410004,107.624786,51179700
2018-04-01,109.580002,118.000000,105.120003,115.139999,112.546333,49224600
2018-05-01,114.330002,121.099998,109.339996,121.029999,118.303642,31870300
2018-06-01,121.099998,126.389999,118.720001,120.190002,117.786438,33702500
2018-07-01,119.620003,139.770004,119.529999,133.839996,131.163467,35417700
2018-08-01,133.179993,134.679993,127.959999,130.500000,127.890266,28339900
2018-09-01,130.139999,135.690002,121.839996,130.479996,128.182541,30743900
2018-10-01,131.440002,131.919998,113.690002,125.430000,123.221481,47547200
2018-11-01,125.660004,128.850006,110.260002,120.790001,118.663185,34113400
2018-12-01,123.300003,123.570000,108.410004,112.650002,110.956642,28890800
2019-01-01,110.400002,120.860001,108.110001,119.250000,117.457413,28212700
2019-02-01,119.519997,135.130005,119.360001,123.309998,121.456390,37932900
2019-03-01,125.180000,127.500000,117.970001,119.000000,117.211182,30297000
2019-04-01,120.550003,130.639999,119.779999,129.839996,128.213943,30241500
2019-05-01,130.029999,131.710007,114.480003,115.000000,113.559784,41331500
2019-06-01,114.620003,133.289993,114.620003,133.029999,131.722778,29422300
2019-07-01,133.949997,144.000000,131.300003,132.740005,131.435638,39779700
2019-08-01,132.910004,133.479996,124.699997,130.100006,128.821579,33672000
2019-09-01,129.059998,135.979996,127.980003,134.410004,133.436554,29082200
2019-10-01,134.460007,139.880005,130.389999,136.660004,135.670258,25908200
2019-11-01,137.479996,138.720001,93.529999,101.660004,100.923744,97572200
2019-12-01,101.529999,114.550003,99.180000,108.139999,107.739700,75512600
