Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,74.315002,84.254997,72.379997,79.209999,79.209999,18299600
2015-02-01,79.535004,80.459999,76.160004,78.415001,78.415001,12995600
2015-03-01,78.264999,79.930000,74.019997,77.239998,77.239998,13473400
2015-04-01,76.885002,82.239998,61.369999,62.685001,62.685001,19860800
2015-05-01,62.500000,69.815002,62.500000,67.800003,67.800003,19110200
2015-06-01,67.889999,68.514999,63.369999,64.139999,64.139999,17915000
2015-07-01,64.970001,73.769997,61.580002,72.730003,72.730003,21999200
2015-08-01,73.190002,79.620003,69.769997,71.470001,71.470001,15017800
2015-09-01,69.940002,79.110001,69.459999,74.250000,74.250000,11567700
2015-10-01,74.080002,77.269997,65.029999,68.620003,68.620003,20203100
2015-11-01,68.660004,71.440002,66.080002,70.820000,70.820000,10603300
2015-12-01,70.250000,74.989998,68.000000,72.919998,72.919998,10170900
2016-01-01,72.349998,72.820000,63.480000,70.139999,70.139999,17590700
2016-02-01,69.849998,74.400002,66.820000,73.160004,73.160004,15568900
2016-03-01,73.419998,79.029999,72.290001,78.320000,78.320000,12974100
2016-04-01,77.529999,84.500000,76.550003,84.349998,84.349998,17457500
2016-05-01,85.000000,91.940002,83.650002,87.570000,87.570000,21892100
2016-06-01,87.559998,92.870003,85.980003,92.860001,92.860001,14230000
2016-07-01,93.160004,95.550003,92.519997,93.790001,93.790001,8382100
2016-08-01,93.430000,113.480003,93.139999,112.680000,112.680000,14056400
2016-09-01,113.010002,115.059998,107.709999,112.730003,112.730003,8640400
2016-10-01,112.370003,117.839996,103.769997,107.139999,107.139999,10287900
2016-11-01,110.050003,121.059998,102.449997,117.650002,117.650002,12142500
2016-12-01,118.190002,121.769997,113.470001,117.269997,117.269997,10670500
2017-01-01,118.290001,122.470001,113.919998,122.330002,122.330002,34766100
2017-02-01,122.400002,146.169998,121.190002,144.940002,144.940002,16550500
2017-03-01,145.839996,155.649994,145.240005,154.610001,154.610001,16145500
2017-04-01,155.070007,172.000000,153.240005,167.729996,167.729996,11219800
2017-05-01,168.300003,169.229996,158.830002,168.389999,168.389999,12210700
2017-06-01,166.880005,173.009995,156.020004,161.419998,161.419998,15626400
2017-07-01,162.389999,171.369995,157.770004,166.460007,166.460007,10515400
2017-08-01,163.839996,165.410004,148.800003,155.429993,155.429993,14749400
2017-09-01,155.720001,162.490005,152.960007,155.490005,155.490005,8824600
2017-10-01,156.130005,168.660004,153.449997,166.169998,166.169998,8890500
2017-11-01,167.789993,167.789993,146.089996,156.410004,156.410004,12687300
2017-12-01,156.139999,165.770004,151.740005,156.380005,156.380005,9377300
2018-01-01,157.589996,188.550003,157.529999,187.039993,187.039993,10507300
2018-02-01,189.529999,198.729996,166.699997,187.229996,187.229996,13556200
2018-03-01,187.389999,207.139999,180.330002,191.389999,191.389999,11585300
2018-04-01,191.289993,202.259995,183.860001,194.490005,194.490005,7663100
2018-05-01,194.020004,217.889999,189.419998,208.210007,208.210007,12209200
2018-06-01,210.509995,229.009995,210.509995,217.940002,217.940002,8600400
2018-07-01,216.830002,252.490005,215.279999,244.929993,244.929993,8627800
2018-08-01,244.929993,256.220001,227.789993,254.039993,254.039993,9767700
2018-09-01,253.369995,254.279999,239.009995,249.660004,249.660004,8882700
2018-10-01,250.000000,252.690002,199.860001,212.119995,212.119995,13318800
2018-11-01,196.880005,212.179993,188.750000,203.759995,203.759995,11663900
2018-12-01,206.250000,207.750000,176.149994,186.020004,186.020004,12602900
2019-01-01,182.490005,213.000000,176.110001,212.779999,212.779999,11823700
2019-02-01,214.029999,214.500000,201.589996,211.029999,211.029999,9840800
2019-03-01,213.250000,226.149994,198.750000,223.600006,223.600006,10581200
2019-04-01,225.520004,233.210007,214.250000,232.000000,232.000000,9332100
2019-05-01,231.630005,258.450012,230.000000,249.770004,249.770004,11038800
2019-06-01,250.050003,278.609985,245.000000,275.329987,275.329987,7018400
2019-07-01,278.250000,292.170013,273.390015,282.049988,282.049988,7391300
2019-08-01,268.510010,291.049988,256.269989,289.739990,289.739990,9413700
2019-09-01,288.890015,291.640015,257.010010,271.929993,271.929993,8116200
2019-10-01,273.399994,294.570007,264.070007,285.010010,285.010010,8135500
2019-11-01,285.559998,287.920013,249.360001,251.580002,251.580002,11603500
2019-12-01,251.330002,265.929993,246.740005,261.130005,261.130005,9382800
