Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,92.209999,93.160004,84.750000,86.820000,82.192886,37178800
2015-02-01,87.510002,98.089996,85.769997,97.629997,92.689919,40326500
2015-03-01,97.559998,100.879997,95.010002,96.959999,92.053818,29980200
2015-04-01,96.820000,102.169998,95.330002,100.330002,95.253304,27355800
2015-05-01,100.330002,109.209999,99.019997,104.150002,99.134613,26951500
2015-06-01,104.769997,107.949997,100.760002,100.769997,95.917343,31695800
2015-07-01,101.639999,108.199997,100.120003,105.769997,100.676559,26737100
2015-08-01,104.669998,107.750000,79.629997,85.750000,81.818108,52670600
2015-09-01,83.349998,89.769997,83.099998,88.750000,84.680573,62865300
2015-10-01,88.660004,99.000000,85.610001,97.430000,92.962570,34634000
2015-11-01,98.050003,108.000000,95.620003,100.199997,95.922424,44130000
2015-12-01,100.940002,102.580002,94.680000,96.500000,92.380394,36358600
2016-01-01,94.190002,96.480003,88.660004,95.510002,91.432671,36569900
2016-02-01,95.279999,101.000000,88.169998,96.639999,92.803558,43034000
2016-03-01,97.669998,104.510002,96.389999,104.010002,99.880974,34424900
2016-04-01,103.769997,105.320000,99.199997,100.889999,96.884850,23876700
2016-05-01,101.400002,108.680000,99.250000,106.660004,102.718903,30677400
2016-06-01,105.849998,111.790001,103.029999,111.610001,107.485992,35685800
2016-07-01,111.730003,116.970001,110.389999,110.989998,106.888893,26611300
2016-08-01,111.419998,114.059998,108.000000,111.449997,107.614494,32483800
2016-09-01,111.279999,113.110001,106.339996,110.010002,106.224045,31406900
2016-10-01,109.830002,110.120003,106.410004,108.739998,104.997742,25719000
2016-11-01,109.029999,116.660004,103.220001,113.680000,110.110054,34518900
2016-12-01,113.790001,118.660004,111.480003,114.610001,111.010841,19908200
2017-01-01,114.339996,120.550003,114.099998,118.580002,114.856171,19303000
2017-02-01,118.489998,128.449997,111.900002,125.440002,121.858871,29056900
2017-03-01,125.889999,126.669998,115.300003,115.989998,112.678642,44134600
2017-04-01,116.050003,126.080002,114.800003,125.209999,121.635422,44461000
2017-05-01,125.550003,141.080002,124.220001,140.639999,137.024643,39356000
2017-06-01,140.550003,143.809998,132.350006,132.809998,129.395966,34253900
2017-07-01,133.820007,137.710007,130.259995,137.210007,133.682846,22467300
2017-08-01,137.639999,141.690002,133.600006,141.449997,138.169785,30962600
2017-09-01,141.830002,146.720001,140.070007,142.139999,138.843811,28346600
2017-10-01,142.259995,153.860001,140.210007,151.020004,147.517868,23759200
2017-11-01,151.850006,158.899994,150.550003,157.220001,153.994476,28537300
2017-12-01,156.139999,161.440002,152.580002,157.779999,154.542984,24943000
2018-01-01,158.220001,170.589996,157.009995,167.899994,164.455353,23180500
2018-02-01,167.559998,177.509995,150.429993,166.860001,163.825790,33426100
2018-03-01,167.399994,179.300003,162.589996,173.350006,170.197784,32191000
2018-04-01,173.009995,188.559998,166.520004,184.789993,181.429779,30001600
2018-05-01,184.820007,203.440002,183.020004,201.600006,198.395523,32018100
2018-06-01,202.279999,216.630005,198.029999,204.309998,201.062439,30157200
2018-07-01,203.009995,219.460007,201.710007,204.240005,200.993546,24646400
2018-08-01,203.910004,219.779999,202.389999,219.470001,216.386917,33350600
2018-09-01,219.940002,229.860001,214.710007,227.399994,224.205521,32548200
2018-10-01,228.850006,231.839996,196.399994,211.000000,208.035904,39088800
2018-11-01,210.809998,223.410004,190.710007,214.529999,211.974701,39910300
2018-12-01,217.720001,219.850006,182.610001,196.850006,194.505310,37771600
2019-01-01,191.500000,217.399994,188.210007,215.820007,213.249329,30602200
2019-02-01,215.740005,251.570007,212.669998,247.130005,244.750946,32304100
2019-03-01,250.000000,261.630005,240.009995,261.410004,258.893463,29620200
2019-04-01,264.519989,272.140015,238.300003,251.059998,248.643097,35423900
2019-05-01,252.490005,259.260010,236.029999,244.850006,242.930786,32069300
2019-06-01,245.199997,268.429993,236.750000,261.329987,259.281586,26468200
2019-07-01,266.029999,284.970001,262.700012,277.309998,275.136353,23550400
2019-08-01,278.609985,295.769989,261.940002,288.359985,286.596527,30793400
2019-09-01,285.309998,293.459991,259.260010,265.940002,264.313660,24007900
2019-10-01,267.690002,274.109985,252.539993,257.500000,255.925232,27074600
2019-11-01,259.910004,275.700012,250.410004,258.890015,257.830353,31024200
2019-12-01,259.109985,268.950012,247.800003,261.929993,260.857880,27368000
