Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,79.870003,82.160004,75.489998,76.440002,69.575729,38450500
2015-02-01,76.760002,84.489998,75.000000,82.459999,75.055130,31143500
2015-03-01,83.050003,84.480003,69.070000,70.239998,63.932499,50492300
2015-04-01,70.589996,81.650002,69.559998,75.580002,68.947784,54933600
2015-05-01,76.089996,83.349998,74.529999,82.250000,75.032463,32084800
2015-06-01,82.769997,84.389999,79.529999,81.349998,74.211449,36878800
2015-07-01,82.919998,84.129997,73.809998,76.870003,70.377602,48270000
2015-08-01,76.709999,76.879997,62.849998,72.769997,66.623909,51146500
2015-09-01,70.830002,74.919998,61.200001,65.330002,59.812267,48643800
2015-10-01,65.279999,77.360001,63.220001,76.589996,70.415688,79539500
2015-11-01,76.820000,79.040001,75.010002,78.199997,71.895866,40311000
2015-12-01,78.300003,81.290001,76.150002,79.419998,73.017525,41938000
2016-01-01,77.769997,78.550003,66.139999,71.790001,66.258530,65150100
2016-02-01,71.199997,74.620003,63.099998,73.300003,67.652168,58320300
2016-03-01,73.500000,83.510002,73.059998,82.599998,76.235596,50851000
2016-04-01,82.279999,83.830002,75.680000,76.400002,70.799065,57918200
2016-05-01,76.400002,83.389999,72.000000,82.809998,76.739136,60463800
2016-06-01,82.540001,87.190002,79.150002,84.059998,77.897499,49705500
2016-07-01,83.949997,93.800003,80.680000,89.769997,83.490303,42804600
2016-08-01,90.169998,95.769997,88.129997,93.320000,86.791969,51750600
2016-09-01,93.599998,95.410004,89.800003,94.709999,88.084732,44018100
2016-10-01,94.150002,102.440002,94.080002,96.860001,90.381714,76658500
2016-11-01,97.160004,108.199997,93.690002,106.019997,98.929062,44636300
2016-12-01,105.650002,110.349998,97.790001,105.730003,98.658470,40471100
2017-01-01,106.680000,119.139999,105.790001,114.860001,107.643181,39569100
2017-02-01,115.910004,119.419998,113.199997,118.540001,111.091965,33668900
2017-03-01,118.970001,129.350006,116.400002,128.360001,120.294945,33938100
2017-04-01,128.619995,148.000000,124.910004,144.850006,136.265808,36441500
2017-05-01,145.929993,157.770004,145.130005,155.169998,145.974213,43933500
2017-06-01,155.259995,167.050003,140.009995,141.429993,133.048523,62170400
2017-07-01,142.710007,170.000000,139.240005,159.460007,150.436432,47785100
2017-08-01,160.440002,167.320007,148.259995,165.979996,156.587479,51966300
2017-09-01,166.020004,185.229996,162.520004,185.039993,174.568878,40482100
2017-10-01,185.039993,210.089996,180.789993,208.570007,197.289780,49126700
2017-11-01,210.449997,219.699997,189.259995,192.330002,181.928070,49977800
2017-12-01,190.000000,193.000000,175.800003,184.070007,174.114792,61508600
2018-01-01,185.149994,218.479996,183.869995,191.520004,181.664474,77262900
2018-02-01,190.000000,199.789993,156.830002,191.860001,181.986938,75327300
2018-03-01,192.490005,234.880005,182.160004,203.160004,192.705444,84095400
2018-04-01,201.490005,212.850006,181.669998,185.059998,175.979675,81839600
2018-05-01,184.139999,209.919998,183.740005,198.179993,188.455917,57160500
2018-06-01,200.000000,205.949997,166.369995,172.850006,164.368805,86690000
2018-07-01,169.990005,196.699997,166.889999,190.639999,182.265854,58106400
2018-08-01,189.869995,190.800003,166.320007,173.089996,165.486771,57240800
2018-09-01,171.750000,172.919998,147.539993,151.699997,145.036377,56285600
2018-10-01,150.630005,154.850006,133.419998,141.729996,136.445541,82983000
2018-11-01,142.639999,157.179993,139.869995,156.960007,151.107697,57935600
2018-12-01,161.000000,162.869995,122.639999,136.169998,131.092850,57699700
2019-01-01,133.460007,172.899994,131.350006,169.580002,164.380096,72624000
2019-02-01,170.199997,185.240005,169.429993,176.089996,170.690506,39479400
2019-03-01,177.669998,187.960007,163.600006,179.009995,173.520935,48400300
2019-04-01,182.000000,209.500000,181.449997,207.429993,202.304413,40686500
2019-05-01,208.039993,209.039993,174.529999,174.610001,170.295410,41882700
2019-06-01,175.479996,195.289993,171.039993,187.839996,183.198486,38328900
2019-07-01,194.570007,218.490005,178.919998,208.610001,204.632736,38196400
2019-08-01,207.889999,217.699997,190.710007,210.509995,206.496521,36860600
2019-09-01,211.000000,244.979996,209.020004,231.110001,226.703751,36887200
2019-10-01,233.000000,282.880005,225.000000,271.040009,267.208069,40248500
2019-11-01,273.820007,285.869995,260.119995,266.829987,263.057556,28055600
2019-12-01,266.480011,299.390015,255.500000,292.399994,288.266052,28722300
