Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,45.360001,47.340000,42.500000,45.099998,40.115162,32786300
2015-02-01,45.180000,51.680000,44.110001,51.270000,45.603203,94715300
2015-03-01,51.610001,52.439999,46.889999,48.900002,43.803535,62599800
2015-04-01,48.799999,50.369999,47.020000,47.660000,42.692764,38501500
2015-05-01,48.090000,50.130001,46.730000,49.130001,44.009552,39430600
2015-06-01,49.250000,50.709999,44.259998,47.430000,42.799568,40184900
2015-07-01,47.900002,47.959999,40.910000,42.840000,38.657673,56286000
2015-08-01,42.189999,44.630001,37.770000,42.730000,38.558399,70630100
2015-09-01,41.450001,45.750000,40.090000,43.090000,38.883255,57423800
2015-10-01,43.090000,49.599998,41.349998,48.290001,43.926155,47476300
2015-11-01,48.200001,49.840000,44.009998,48.279999,43.917049,33771200
2015-12-01,48.549999,48.680000,44.160000,46.540001,42.666698,44035800
2016-01-01,45.660000,46.310001,39.639999,44.810001,41.080677,68648800
2016-02-01,44.459999,45.180000,39.009998,44.490002,40.787312,59417200
2016-03-01,44.599998,49.480000,44.080002,48.200001,44.563560,49748500
2016-04-01,47.910000,50.680000,47.520000,48.590000,44.924141,48898100
2016-05-01,48.860001,51.740002,46.980000,51.680000,47.781013,39258200
2016-06-01,51.380001,53.169998,47.810001,50.759998,47.282623,45755400
2016-07-01,50.590000,58.740002,48.970001,55.639999,51.828316,47062100
2016-08-01,56.040001,62.240002,54.509998,61.910000,57.668785,48089000
2016-09-01,62.099998,63.110001,58.150002,62.139999,58.226944,45154700
2016-10-01,62.060001,62.599998,57.520000,60.549999,56.737072,35277300
2016-11-01,60.799999,66.809998,59.380001,66.180000,62.012535,52682900
2016-12-01,66.330002,66.389999,60.770000,64.150002,60.442734,41034200
2017-01-01,64.510002,69.089996,62.209999,67.349998,63.457817,41004600
2017-02-01,67.709999,76.500000,67.370003,72.519997,68.329033,118391900
2017-03-01,73.239998,74.900002,71.879997,73.779999,69.867027,56749200
2017-04-01,73.940002,77.320000,71.400002,75.580002,71.571541,46346500
2017-05-01,75.919998,84.000000,74.550003,83.300003,78.882095,55444400
2017-06-01,83.620003,87.489998,76.309998,77.180000,73.421669,63290500
2017-07-01,77.730003,83.379997,75.800003,80.040001,76.142410,37498900
2017-08-01,80.610001,86.970001,79.139999,86.800003,82.573235,42778400
2017-09-01,86.959999,91.830002,85.000000,89.779999,85.777077,41481300
2017-10-01,90.370003,95.690002,90.019997,94.800003,90.573250,32360400
2017-11-01,94.300003,95.919998,85.949997,86.989998,83.111473,49773700
2017-12-01,86.400002,90.889999,85.099998,87.879997,84.296936,35021100
2018-01-01,88.580002,99.169998,88.260002,95.220001,91.337685,44319500
2018-02-01,94.910004,95.889999,78.330002,88.930000,85.304131,84438700
2018-03-01,89.019997,101.480003,87.559998,91.360001,88.018112,71227200
2018-04-01,90.989998,91.500000,81.279999,83.660004,80.599777,58931900
2018-05-01,83.190002,99.089996,82.639999,97.379997,93.817886,47614600
2018-06-01,98.360001,104.199997,89.930000,90.949997,87.966034,49254100
2018-07-01,90.220001,96.910004,89.199997,93.430000,90.364670,34906900
2018-08-01,93.400002,98.260002,79.760002,86.029999,83.207451,92523200
2018-09-01,85.160004,86.160004,77.870003,78.910004,76.657196,63407400
2018-10-01,79.300003,79.699997,60.700001,65.779999,63.902050,126670000
2018-11-01,66.250000,76.360001,65.669998,75.000000,72.858818,75053500
2018-12-01,78.099998,80.610001,65.669998,71.919998,70.213646,55459900
2019-01-01,70.269997,81.730003,66.160004,80.370003,78.463165,65452500
2019-02-01,80.540001,91.820000,79.910004,86.870003,84.808952,63772300
2019-03-01,87.889999,89.570000,80.029999,82.959999,81.318985,42891200
2019-04-01,84.139999,100.279999,84.110001,99.889999,97.914101,59397500
2019-05-01,100.669998,101.349998,77.660004,80.029999,78.446945,73665800
2019-06-01,80.389999,89.129997,79.339996,86.699997,85.360237,49680200
2019-07-01,90.260002,100.059998,87.129997,94.419998,92.960938,40682200
2019-08-01,94.449997,96.680000,82.879997,86.330002,84.995956,53007200
2019-09-01,85.250000,96.739998,82.589996,92.910004,91.847580,46646900
2019-10-01,94.870003,97.860001,89.089996,94.290001,93.211800,40641500
2019-11-01,95.580002,101.570000,90.290001,94.540001,93.458939,44690000
2019-12-01,95.150002,106.160004,90.820000,104.720001,103.934273,41134900
