Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,20.129999,20.750000,19.080000,19.200001,18.490671,103508800
2015-02-01,19.320000,22.500000,18.940001,22.059999,21.245010,104838500
2015-03-01,22.000000,23.610001,20.459999,20.930000,20.234377,182761100
2015-04-01,21.010000,22.840000,20.650000,22.200001,21.462160,141841300
2015-05-01,22.379999,22.879999,20.379999,22.129999,21.394485,177033400
2015-06-01,22.270000,22.600000,19.969999,20.110001,19.531616,183345800
2015-07-01,20.610001,20.900000,19.090000,19.950001,19.376217,137010100
2015-08-01,20.110001,23.950001,19.850000,22.480000,21.833452,236737300
2015-09-01,21.830000,24.680000,21.400000,24.650000,24.041771,162005200
2015-10-01,24.650000,28.780001,23.469999,28.370001,27.669979,201307900
2015-11-01,28.459999,31.940001,27.629999,31.719999,30.937323,183620400
2015-12-01,32.000000,33.939999,31.969999,32.959999,32.268795,140679300
2016-01-01,32.290001,33.439999,26.450001,29.290001,28.675756,203474500
2016-02-01,29.260000,32.119999,24.750000,31.360001,30.702349,225001200
2016-03-01,31.440001,36.250000,31.040001,35.630001,35.009884,164447600
2016-04-01,35.410000,37.459999,34.630001,35.529999,34.911625,168356300
2016-05-01,35.869999,46.820000,34.400002,46.720001,45.906876,259195900
2016-06-01,46.500000,48.540001,44.570000,47.009998,46.311787,204947500
2016-07-01,46.750000,57.250000,46.029999,57.099998,56.251907,180251300
2016-08-01,57.340000,63.500000,55.500000,61.340000,60.428940,232628000
2016-09-01,61.389999,69.190002,57.320000,68.519997,67.626686,216631300
2016-10-01,68.519997,72.949997,63.700001,71.160004,70.232277,163789200
2016-11-01,71.419998,95.250000,66.580002,92.199997,90.997955,319186600
2016-12-01,92.099998,119.930000,84.769997,106.739998,105.506119,452055700
2017-01-01,104.400002,111.889999,99.110001,109.180000,107.917931,334921000
2017-02-01,110.580002,120.919998,95.699997,101.480003,100.306931,355169700
2017-03-01,103.790001,110.000000,95.169998,108.930000,107.806709,357224000
2017-04-01,108.949997,109.650002,95.489998,104.300003,103.224449,239314300
2017-05-01,104.739998,147.000000,102.309998,144.350006,142.861435,480236100
2017-06-01,144.990005,168.500000,142.110001,144.559998,143.219986,586138000
2017-07-01,145.050003,169.929993,138.580002,162.509995,161.003555,387275400
2017-08-01,162.130005,174.559998,152.910004,169.440002,167.869339,368205400
2017-09-01,169.949997,191.199997,162.710007,178.770004,177.268784,361183400
2017-10-01,180.800003,207.889999,177.000000,206.809998,205.073303,285566600
2017-11-01,209.350006,218.669998,191.229996,211.610001,209.833008,445137200
2017-12-01,199.309998,200.300003,180.580002,193.500000,192.008392,252805400
2018-01-01,195.779999,249.270004,194.500000,245.800003,243.905228,286405400
2018-02-01,238.520004,251.970001,204.000000,242.000000,240.134506,372888200
2018-03-01,241.910004,254.500000,217.000000,231.589996,229.947586,352961000
2018-04-01,228.740005,239.250000,210.300003,224.899994,223.305023,278600200
2018-05-01,224.570007,260.500000,222.199997,252.190002,250.401474,299456000
2018-06-01,254.000000,269.200012,235.009995,236.899994,235.365387,219638500
2018-07-01,234.089996,256.600006,233.259995,244.860001,243.273819,158046900
2018-08-01,246.130005,281.720001,238.720001,280.679993,278.861816,272945900
2018-09-01,280.149994,285.220001,258.679993,281.019989,279.352325,158505000
2018-10-01,284.160004,292.760010,176.009995,210.830002,209.578857,324449400
2018-11-01,212.300003,222.000000,133.309998,163.429993,162.460129,404058500
2018-12-01,172.600006,174.679993,124.459999,133.500000,132.840530,311285200
2019-01-01,130.639999,160.880005,127.690002,143.750000,143.039902,421774800
2019-02-01,144.500000,165.279999,142.580002,154.259995,153.497986,286143200
2019-03-01,156.270004,185.000000,144.800003,179.559998,178.857162,301713500
2019-04-01,183.259995,193.470001,173.300003,181.000000,180.291519,236076400
2019-05-01,183.110001,184.869995,135.389999,135.460007,134.929779,279518800
2019-06-01,135.910004,165.369995,132.600006,164.229996,163.773880,205811600
2019-07-01,172.570007,178.889999,155.000000,168.720001,168.251404,210468700
2019-08-01,169.139999,173.449997,147.389999,167.509995,167.044769,236258200
2019-09-01,164.580002,188.399994,163.250000,174.070007,173.758392,158694200
2019-10-01,175.000000,208.899994,170.130005,201.020004,200.660156,192404300
2019-11-01,199.600006,221.410004,198.589996,216.740005,216.351990,183045000
2019-12-01,216.460007,241.809998,200.369995,235.300003,235.052078,163588300
