Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,68.220001,68.870003,59.990002,60.110001,48.709137,46454200
2015-02-01,60.410000,65.080002,59.330002,64.050003,51.901859,33497700
2015-03-01,64.260002,65.230003,60.279999,63.139999,51.343292,35277700
2015-04-01,63.009998,68.440002,60.500000,65.349998,53.140396,39155800
2015-05-01,65.400002,67.169998,63.419998,63.560001,51.684826,29088700
2015-06-01,64.230003,65.550003,63.160000,63.810001,52.059517,30562000
2015-07-01,64.459999,66.430000,62.520000,64.839996,52.899845,48148300
2015-08-01,64.879997,64.970001,53.450001,58.970001,48.110794,47453900
2015-09-01,57.770000,58.820000,51.509998,52.169998,42.725788,51235100
2015-10-01,52.270000,56.049999,49.459999,52.650002,43.118904,67843900
2015-11-01,52.860001,54.500000,49.560001,51.959999,42.553810,38681300
2015-12-01,51.209999,51.970001,45.040001,47.400002,38.999046,60159900
2016-01-01,46.500000,49.570000,43.459999,49.070000,41.589123,55219800
2016-02-01,48.459999,53.209999,45.919998,51.500000,43.648655,49235200
2016-03-01,52.090000,55.599998,51.259998,54.689999,46.576618,51917300
2016-04-01,54.410000,60.860001,51.990002,58.910000,50.170574,48772800
2016-05-01,59.169998,59.360001,52.980000,55.750000,47.479366,43978000
2016-06-01,55.529999,57.450001,48.169998,51.869999,44.361725,56648400
2016-07-01,51.889999,59.599998,49.349998,58.970001,50.433987,51107900
2016-08-01,58.840000,60.750000,57.029999,59.840000,51.178059,37525100
2016-09-01,59.990002,60.160000,55.189999,58.779999,50.480587,47794600
2016-10-01,58.480000,60.209999,54.040001,54.919998,47.165607,39490300
2016-11-01,55.029999,62.619999,53.380001,62.150002,53.374767,41467500
2016-12-01,58.779999,68.500000,58.779999,63.900002,55.095779,45824200
2017-01-01,64.620003,68.690002,64.610001,67.309998,58.559021,43171400
2017-02-01,67.639999,70.120003,66.650002,66.809998,58.124016,33805500
2017-03-01,67.910004,69.610001,65.760002,67.199997,58.669823,43482700
2017-04-01,67.309998,68.120003,64.010002,66.730003,58.259476,38904900
2017-05-01,66.970001,69.169998,62.009998,62.959999,54.968025,40234100
2017-06-01,63.160000,66.400002,61.930000,66.040001,57.881611,40390300
2017-07-01,66.410004,70.320000,65.839996,68.449997,59.993885,36327200
2017-08-01,68.690002,69.040001,62.720001,66.330002,58.135796,34364800
2017-09-01,66.550003,73.290001,64.949997,72.339996,63.648857,30802200
2017-10-01,72.239998,75.680000,68.860001,71.730003,63.112152,58686200
2017-11-01,72.370003,72.480003,66.330002,69.699997,61.326027,56661300
2017-12-01,69.790001,72.309998,68.320000,71.080002,62.765732,35307300
2018-01-01,72.570000,79.690002,72.059998,74.559998,66.955986,52719200
2018-02-01,74.040001,75.050003,65.309998,71.589996,64.288872,49119900
2018-03-01,71.639999,71.639999,62.820000,66.169998,59.642536,68892200
2018-04-01,65.959999,71.580002,63.349998,63.669998,57.389160,54449500
2018-05-01,63.500000,66.750000,60.360001,62.230000,56.091217,41846900
2018-06-01,62.630001,65.900002,60.970001,61.959999,56.094063,38526300
2018-07-01,60.290001,66.820000,59.820000,65.720001,59.498089,46110000
2018-08-01,65.500000,69.139999,62.799999,68.419998,61.942482,40691400
2018-09-01,67.949997,72.889999,67.680000,68.190002,62.007423,35108600
2018-10-01,68.760002,70.760002,53.950001,57.209999,52.022934,59302600
2018-11-01,57.549999,62.290001,57.529999,62.220001,56.578701,36682700
2018-12-01,63.110001,63.410000,53.430000,57.139999,52.202286,49957600
2019-01-01,56.270000,65.559998,55.840000,65.519997,61.980392,53008600
2019-02-01,65.510002,70.349998,64.180000,67.800003,64.137215,33679100
2019-03-01,68.250000,69.010002,65.919998,68.139999,64.773140,40370200
2019-04-01,68.809998,73.000000,67.949997,71.669998,68.128708,39982700
2019-05-01,71.800003,72.279999,65.779999,65.820000,62.567772,37248700
2019-06-01,65.980003,72.470001,65.839996,71.660004,68.434250,25907100
2019-07-01,72.629997,72.860001,67.000000,70.139999,66.982681,38087000
2019-08-01,70.040001,70.889999,62.130001,65.559998,62.608841,36848200
2019-09-01,65.080002,72.430000,63.540001,70.010002,67.190437,36106300
2019-10-01,70.139999,77.800003,65.169998,76.059998,72.996780,44841700
2019-11-01,76.430000,82.250000,76.059998,81.370003,78.092926,26703800
2019-12-01,81.750000,83.410004,78.599998,79.099998,76.219719,30897300
