Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,3.500000,3.660000,3.330000,3.550000,3.446714,804298500
2015-02-01,3.560000,3.930000,3.510000,3.890000,3.776822,600214700
2015-03-01,3.870000,4.040000,3.810000,3.820000,3.708858,589290400
2015-04-01,3.840000,4.000000,3.830000,3.950000,3.835076,584694800
2015-05-01,3.940000,3.950000,3.790000,3.860000,3.747694,399941200
2015-06-01,3.850000,3.930000,3.700000,3.730000,3.621477,533010800
2015-07-01,3.760000,4.010000,3.630000,3.960000,3.844785,689369600
2015-08-01,3.960000,4.010000,3.310000,3.820000,3.708858,601562300
2015-09-01,3.770000,3.920000,3.650000,3.740000,3.631186,525824800
2015-10-01,3.760000,4.180000,3.690000,4.080000,3.961294,700001800
2015-11-01,4.090000,4.200000,4.020000,4.110000,3.990421,459508500
2015-12-01,4.120000,4.180000,3.960000,4.070000,3.951585,575659300
2016-01-01,4.030000,4.040000,3.450000,3.700000,3.592350,654826400
2016-02-01,3.690000,3.750000,3.290000,3.720000,3.611768,815140000
2016-03-01,3.740000,3.970000,3.720000,3.950000,3.835076,711480100
2016-04-01,3.950000,4.050000,3.790000,3.950000,3.835076,951538300
2016-05-01,3.970000,4.020000,3.850000,4.020000,3.903039,585799200
2016-06-01,4.000000,4.040000,3.740000,3.950000,3.835076,983590100
2016-07-01,3.950000,4.440000,3.920000,4.390000,4.262275,1152786300
2016-08-01,4.390000,4.400000,4.110000,4.140000,4.019548,1203656500
2016-09-01,4.160000,4.220000,4.070000,4.170000,4.048676,1051438700
2016-10-01,4.170000,4.270000,4.050000,4.170000,4.048676,990751900
2016-11-01,4.180000,4.650000,4.110000,4.570000,4.437037,873255600
2016-12-01,4.570000,4.610000,4.220000,4.450000,4.330990,588799600
2017-01-01,4.490000,4.800000,4.400000,4.720000,4.593769,459923500
2017-02-01,4.740000,5.220000,4.670000,5.090000,4.953874,453808300
2017-03-01,5.130000,5.530000,5.040000,5.150000,5.022845,559365700
2017-04-01,5.160000,5.210000,4.890000,4.950000,4.827782,601242800
2017-05-01,4.950000,5.370000,4.730000,5.250000,5.120375,541842100
2017-06-01,5.250000,5.500000,5.090000,5.470000,5.345876,561361200
2017-07-01,5.500000,5.890000,5.320000,5.860000,5.727025,403050900
2017-08-01,5.890000,5.890000,5.440000,5.610000,5.482698,407401400
2017-09-01,5.740000,5.750000,5.370000,5.520000,5.404391,335580600
2017-10-01,5.520000,5.790000,5.430000,5.440000,5.326067,348474700
2017-11-01,5.470000,5.550000,5.260000,5.500000,5.384810,340380600
2017-12-01,5.460000,5.740000,5.200000,5.360000,5.258575,427169500
2018-01-01,5.270000,6.280000,5.170000,6.110000,5.994382,527082500
2018-02-01,6.020000,6.380000,5.680000,6.280000,6.161166,416717100
2018-03-01,6.200000,6.610000,6.160000,6.240000,6.133129,359066000
2018-04-01,6.210000,6.500000,6.080000,6.330000,6.221588,316539500
2018-05-01,6.340000,7.230000,6.210000,7.100000,6.978400,373711100
2018-06-01,7.130000,7.700000,6.610000,6.770000,6.665111,420035000
2018-07-01,6.750000,7.290000,6.720000,7.020000,6.911237,262031900
2018-08-01,6.990000,7.110000,6.810000,7.100000,6.989998,282094300
2018-09-01,7.070000,7.250000,6.160000,6.320000,6.231946,502968000
2018-10-01,6.340000,6.380000,5.550000,6.020000,5.936125,669430600
2018-11-01,5.990000,6.380000,5.830000,6.230000,6.143200,576210700
2018-12-01,6.300000,6.430000,5.480000,5.710000,5.641190,511248700
2019-01-01,5.690000,6.370000,5.670000,5.830000,5.759744,585404100
2019-02-01,5.870000,6.190000,5.810000,5.930000,5.858539,523941500
2019-03-01,5.950000,6.180000,5.630000,5.670000,5.613109,640511600
2019-04-01,5.700000,6.170000,5.630000,5.810000,5.751704,653060900
2019-05-01,5.810000,5.910000,5.240000,5.310000,5.256720,573780900
2019-06-01,5.310000,5.780000,5.230000,5.580000,5.535583,490838200
2019-07-01,5.630000,6.320000,5.610000,6.260000,6.210171,484641100
2019-08-01,6.280000,6.380000,5.940000,6.170000,6.120887,406591600
2019-09-01,6.130000,6.500000,6.100000,6.260000,6.222392,371606400
2019-10-01,6.280000,6.750000,6.170000,6.720000,6.679628,388762000
2019-11-01,6.740000,7.000000,6.720000,6.980000,6.938066,408979100
2019-12-01,6.970000,7.200000,6.700000,7.150000,7.120698,364335800
